time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-01-06T06:24:28.836Z,40.388,53.0944,41.06,4.9,mb,,83,6.393,1.34,us,us70006v5v,2020-01-06T09:20:05.688Z,"42km NNE of Turkmenbasy, Turkmenistan",earthquake,8,6.6,0.052,114,reviewed,us,us
2020-01-06T02:58:29.425Z,6.1448,126.1958,86.93,4.6,mb,,91,1.104,0.86,us,us70006v4z,2020-01-06T03:15:51.040Z,"24km S of Pondaguitan, Philippines",earthquake,9.3,6.9,0.078,50,reviewed,us,us
2020-01-06T01:29:20.894Z,0.24,-16.9938,10,5.6,mww,,38,19.556,1.09,us,us70006v42,2020-01-07T01:31:12.022Z,"North of Ascension Island",earthquake,10.6,1.9,0.071,19,reviewed,us,us
2020-01-06T00:53:32.181Z,29.1327,130.5849,10,5.2,mb,,61,2.371,0.57,us,us70006v3s,2020-01-06T06:11:59.040Z,"137km NE of Naze, Japan",earthquake,6.2,1.8,0.028,411,reviewed,us,us
2020-01-06T00:20:48.549Z,29.1576,130.5058,10,5.1,mww,,36,2.344,0.63,us,us70006v3k,2020-01-06T00:48:57.040Z,"132km NE of Naze, Japan",earthquake,3.4,1.8,0.08,15,reviewed,us,us
2020-01-05T23:12:24.603Z,-7.9757,107.4614,40.36,4.9,mww,,41,3.033,0.99,us,us70006v30,2020-01-05T23:51:29.040Z,"45km SW of Bunisari, Indonesia",earthquake,7.5,5.7,0.08,15,reviewed,us,us
2020-01-05T18:58:52.610Z,6.1249,126.2298,80.98,5.1,mww,,81,1.139,1.21,us,us70006v1l,2020-01-05T19:28:03.011Z,"26km SSE of Pondaguitan, Philippines",earthquake,8.3,5.9,0.08,15,reviewed,us,us
2020-01-05T17:46:14.482Z,-3.5422,131.3728,38.98,4.5,mb,,85,1.071,0.82,us,us70006v18,2020-01-05T19:01:53.040Z,"273km E of Amahai, Indonesia",earthquake,8.4,2.5,0.092,35,reviewed,us,us
2020-01-05T17:01:04.539Z,2.4583,-100.2422,10,4.9,mb,,191,16.137,1.13,us,us70006v0x,2020-01-05T17:38:10.040Z,"Galapagos Triple Junction region",earthquake,12.8,1.9,0.038,221,reviewed,us,us
2020-01-05T15:05:10.217Z,-18.1364,-177.9819,576.56,4.7,mb,,41,3.794,0.94,us,us70006v0c,2020-01-05T17:36:12.040Z,"288km NNE of Ndoi Island, Fiji",earthquake,12.1,8.6,0.045,153,reviewed,us,us
2020-01-05T13:14:02.190Z,29.9784,85.3916,10,4.5,mb,,153,4.99,0.54,us,us70006uzj,2020-01-05T17:02:49.040Z,"74km NNE of Saga, China",earthquake,8.9,1.9,0.11,24,reviewed,us,us
2020-01-05T12:25:49.942Z,31.3154,133.135,10,5.1,mb,,94,2.301,0.87,us,us70006uz5,2020-01-06T22:05:34.040Z,"171km E of Nichinan, Japan",earthquake,6.8,1.8,0.034,274,reviewed,us,us
2020-01-05T09:59:38.926Z,39.3968,72.6875,10,4.5,mb,,77,1.884,1.17,us,us70006uyr,2020-01-05T10:35:17.040Z,"60km SW of Sary-Tash, Kyrgyzstan",earthquake,3.6,1.9,0.124,19,reviewed,us,us
2020-01-05T08:08:17.656Z,48.1182,155.0413,37.88,4.8,mb,,167,5.274,0.61,us,us70006uy7,2020-01-05T08:33:56.040Z,"295km SSW of Severo-Kuril'sk, Russia",earthquake,8.4,7.4,0.05,125,reviewed,us,us
